Lab,Rep,Con_0,Con_20,Con_100
1,1,-3.000,10.000,92.000
1,2,4.000,20.000,100.000
1,3,-4.000,17.200,97.800
1,4,3.000,24.000,100.000
1,5,3.100,19.100,109.000
2,1,-0.060,17.815,90.455
2,2,0.010,17.305,87.610
2,3,0.115,16.570,85.550
2,4,-0.055,17.360,89.925
2,5,0.340,18.120,90.070
3,1,-7.400,27.100,107.400
3,2,-2.100,19.400,108.100
3,3,-11.400,9.000,83.800
3,4,-11.100,10.500,81.900
3,5,-1.400,19.300,94.200
4,1,1.000,21.000,96.000
4,2,-2.126,16.049,90.650
4,3,0.523,16.082,89.388
4,4,-2.000,17.000,91.000
4,5,-0.551,15.489,85.867
5,1,0.000,18.000,91.000
5,2,0.000,19.000,101.000
5,3,0.000,19.000,102.000
5,4,-1.000,18.700,92.700
5,5,0.038,19.790,99.884
